x_mm,y_mm,8A_dx,8A_dy,10C_dx,10C_dy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,0.00E+00,-1.71E-19,2.85E+00,3.31E-19,3.74E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.19E+02,0.00E+00,2.30E+00,2.80E+00,2.34E+00,3.68E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10E+02,1.90E+02,1.11E+00,4.76E+00,1.13E+00,5.67E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.10E+02,1.90E+02,-1.11E+00,4.76E+00,-1.13E+00,5.67E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.19E+02,0.00E+00,-2.30E+00,2.80E+00,-2.34E+00,3.68E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.10E+02,-1.90E+02,-1.19E+00,7.57E-01,-1.22E+00,1.59E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10E+02,-1.90E+02,1.19E+00,7.57E-01,1.22E+00,1.59E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.38E+02,0.00E+00,4.58E+00,2.66E+00,4.68E+00,3.52E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.29E+02,1.90E+02,3.32E+00,4.66E+00,3.37E+00,5.56E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.19E+02,3.79E+02,2.13E+00,6.48E+00,2.16E+00,7.41E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,3.79E+02,-4.94E-22,6.53E+00,-4.60E-19,7.46E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.19E+02,3.79E+02,-2.13E+00,6.48E+00,-2.16E+00,7.41E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.29E+02,1.90E+02,-3.32E+00,4.66E+00,-3.37E+00,5.56E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.38E+02,0.00E+00,-4.58E+00,2.66E+00,-4.68E+00,3.52E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.29E+02,-1.90E+02,-3.57E+00,6.54E-01,-3.65E+00,1.48E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.19E+02,-3.79E+02,-2.48E+00,-1.55E+00,-2.54E+00,-7.80E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,-3.79E+02,4.23E-21,-1.50E+00,2.99E-18,-7.20E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.19E+02,-3.79E+02,2.48E+00,-1.55E+00,2.54E+00,-7.80E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.29E+02,-1.90E+02,3.57E+00,6.54E-01,3.65E+00,1.48E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.57E+02,0.00E+00,6.85E+00,2.41E+00,6.99E+00,3.25E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.48E+02,1.90E+02,5.51E+00,4.47E+00,5.61E+00,5.36E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.38E+02,3.79E+02,4.25E+00,6.35E+00,4.32E+00,7.27E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.29E+02,5.69E+02,3.08E+00,8.05E+00,3.12E+00,8.99E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10E+02,5.69E+02,1.03E+00,8.14E+00,1.04E+00,9.09E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.10E+02,5.69E+02,-1.03E+00,8.14E+00,-1.04E+00,9.09E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.29E+02,5.69E+02,-3.08E+00,8.05E+00,-3.12E+00,8.99E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.38E+02,3.79E+02,-4.25E+00,6.35E+00,-4.32E+00,7.27E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.48E+02,1.90E+02,-5.51E+00,4.47E+00,-5.61E+00,5.36E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.57E+02,0.00E+00,-6.85E+00,2.41E+00,-6.99E+00,3.25E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.48E+02,-1.90E+02,-5.93E+00,4.49E-01,-6.08E+00,1.25E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.38E+02,-3.79E+02,-4.94E+00,-1.71E+00,-5.07E+00,-9.58E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.29E+02,-5.69E+02,-3.85E+00,-4.09E+00,-3.96E+00,-3.41E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.10E+02,-5.69E+02,-1.29E+00,-3.98E+00,-1.32E+00,-3.28E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10E+02,-5.69E+02,1.29E+00,-3.98E+00,1.32E+00,-3.28E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.29E+02,-5.69E+02,3.85E+00,-4.09E+00,3.96E+00,-3.41E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.38E+02,-3.79E+02,4.94E+00,-1.71E+00,5.07E+00,-9.58E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.48E+02,-1.90E+02,5.93E+00,4.49E-01,6.08E+00,1.25E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.76E+02,0.00E+00,9.08E+00,2.07E+00,9.29E+00,2.88E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.67E+02,1.90E+02,7.68E+00,4.19E+00,7.83E+00,5.06E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.57E+02,3.79E+02,6.36E+00,6.12E+00,6.47E+00,7.03E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.48E+02,5.69E+02,5.12E+00,7.88E+00,5.19E+00,8.81E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.38E+02,7.59E+02,3.95E+00,9.48E+00,4.00E+00,1.04E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.19E+02,7.59E+02,1.98E+00,9.60E+00,2.00E+00,1.06E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,7.59E+02,2.89E-22,9.64E+00,-4.12E-18,1.06E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.19E+02,7.59E+02,-1.98E+00,9.60E+00,-2.00E+00,1.06E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.38E+02,7.59E+02,-3.95E+00,9.48E+00,-4.00E+00,1.04E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.48E+02,5.69E+02,-5.12E+00,7.88E+00,-5.19E+00,8.81E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.57E+02,3.79E+02,-6.36E+00,6.12E+00,-6.47E+00,7.03E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.67E+02,1.90E+02,-7.68E+00,4.19E+00,-7.83E+00,5.06E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.76E+02,0.00E+00,-9.08E+00,2.07E+00,-9.29E+00,2.88E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.67E+02,-1.90E+02,-8.27E+00,1.46E-01,-8.48E+00,9.17E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.57E+02,-3.79E+02,-7.37E+00,-1.97E+00,-7.58E+00,-1.25E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.48E+02,-5.69E+02,-6.39E+00,-4.30E+00,-6.59E+00,-3.65E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.38E+02,-7.59E+02,-5.31E+00,-6.86E+00,-5.49E+00,-6.30E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.19E+02,-7.59E+02,-2.66E+00,-6.70E+00,-2.75E+00,-6.11E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,-7.59E+02,5.99E-23,-6.64E+00,-9.61E-19,-6.05E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.19E+02,-7.59E+02,2.66E+00,-6.70E+00,2.75E+00,-6.11E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.38E+02,-7.59E+02,5.31E+00,-6.86E+00,5.49E+00,-6.30E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.48E+02,-5.69E+02,6.39E+00,-4.30E+00,6.59E+00,-3.65E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.57E+02,-3.79E+02,7.37E+00,-1.97E+00,7.58E+00,-1.25E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.67E+02,-1.90E+02,8.27E+00,1.46E-01,8.48E+00,9.17E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.86E+02,1.90E+02,9.81E+00,3.82E+00,1.00E+01,4.66E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.76E+02,3.79E+02,8.44E+00,5.81E+00,8.59E+00,6.69E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.67E+02,5.69E+02,7.13E+00,7.62E+00,7.25E+00,8.54E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.57E+02,7.59E+02,5.91E+00,9.27E+00,5.99E+00,1.02E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.29E+02,9.48E+02,2.86E+00,1.09E+01,2.89E+00,1.19E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10E+02,9.48E+02,9.56E-01,1.10E+01,9.66E-01,1.20E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.10E+02,9.48E+02,-9.56E-01,1.10E+01,-9.66E-01,1.20E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.29E+02,9.48E+02,-2.86E+00,1.09E+01,-2.89E+00,1.19E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.57E+02,7.59E+02,-5.91E+00,9.27E+00,-5.99E+00,1.02E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.67E+02,5.69E+02,-7.13E+00,7.62E+00,-7.25E+00,8.54E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.76E+02,3.79E+02,-8.44E+00,5.81E+00,-8.59E+00,6.69E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.86E+02,1.90E+02,-9.81E+00,3.82E+00,-1.00E+01,4.66E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.86E+02,-1.90E+02,-1.06E+01,-2.49E-01,-1.08E+01,4.77E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.76E+02,-3.79E+02,-9.77E+00,-2.33E+00,-1.01E+01,-1.66E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.67E+02,-5.69E+02,-8.89E+00,-4.62E+00,-9.18E+00,-4.01E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.57E+02,-7.59E+02,-7.92E+00,-7.12E+00,-8.21E+00,-6.61E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.29E+02,-9.48E+02,-4.13E+00,-9.64E+00,-4.29E+00,-9.21E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.10E+02,-9.48E+02,-1.38E+00,-9.54E+00,-1.43E+00,-9.08E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10E+02,-9.48E+02,1.38E+00,-9.54E+00,1.43E+00,-9.08E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.29E+02,-9.48E+02,4.13E+00,-9.64E+00,4.29E+00,-9.21E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.57E+02,-7.59E+02,7.92E+00,-7.12E+00,8.21E+00,-6.61E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.67E+02,-5.69E+02,8.89E+00,-4.62E+00,9.18E+00,-4.01E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.76E+02,-3.79E+02,9.77E+00,-2.33E+00,1.01E+01,-1.66E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.86E+02,-1.90E+02,1.06E+01,-2.49E-01,1.08E+01,4.77E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
